                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.42649,                0.74195,                0.39938,                0.90817,                0.85313,                 0.8401,                0.86042,                0.73884,                0.85574,                0.84461,                0.86237,                0.70577,                0.54869,                 1.2767,                0.67536,                 0.9315,              0.0001387,              0.0001387,              0.0001387
                     89,                0.42627,                0.73693,                0.39732,                0.90792,                0.85188,                0.84028,                0.86044,                0.73885,                0.85412,                0.84176,                0.86186,                0.70539,                 0.5491,                 1.2779,                0.67569,                0.93205,              0.0001288,              0.0001288,              0.0001288
                     90,                0.42516,                0.73783,                0.39518,                0.90756,                 0.8508,                0.84121,                0.86062,                0.73944,                0.85414,                 0.8425,                0.86183,                0.70546,                0.54876,                 1.2783,                0.67555,                0.93175,              0.0001189,              0.0001189,              0.0001189
                     91,                0.40275,                0.66719,                0.34475,                 0.8973,                0.85186,                0.83989,                0.86069,                0.73972,                0.85472,                0.84176,                0.86185,                0.70633,                0.54886,                 1.2796,                0.67519,                 0.9318,               0.000109,               0.000109,               0.000109
                     92,                0.39281,                  0.647,                0.32687,                0.89111,                0.85227,                0.83994,                0.86069,                0.73989,                0.85451,                0.84212,                0.86173,                0.70592,                 0.5487,                 1.2832,                0.67521,                 0.9318,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.38518,                0.64139,                0.32068,                 0.8877,                0.85005,                0.84457,                0.86049,                 0.7397,                0.85176,                0.84736,                0.86231,                0.70603,                 0.5489,                 1.2853,                0.67571,                0.93214,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.38096,                0.63322,                0.31502,                0.88487,                0.85027,                0.84419,                0.86055,                0.73985,                0.85088,                0.84812,                0.86244,                0.70653,                0.54857,                 1.2871,                0.67621,                0.93197,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.37545,                0.63144,                0.30796,                0.88211,                   0.85,                 0.8441,                0.86046,                0.74072,                0.85192,                0.84683,                 0.8624,                0.70662,                0.54837,                 1.2921,                0.67597,                0.93225,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.37142,                 0.6209,                 0.3032,                 0.8801,                0.84918,                0.84513,                0.86092,                0.74036,                0.84756,                0.85032,                0.86241,                0.70733,                0.54811,                 1.2915,                0.67546,                0.93208,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.36652,                 0.6184,                0.29724,                 0.8777,                0.84992,                0.84461,                 0.8607,                 0.7404,                0.84643,                 0.8508,                0.86227,                0.70743,                0.54836,                 1.2981,                0.67588,                0.93248,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.36375,                0.61191,                0.29434,                0.87623,                0.85224,                0.84083,                0.86112,                0.74068,                0.85131,                0.84784,                0.86225,                0.70648,                0.54816,                 1.3008,                0.67487,                0.93266,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.36009,                0.60793,                0.29079,                0.87472,                0.85294,                0.84278,                0.86296,                0.74063,                0.85334,                0.84558,                0.86227,                0.70739,                0.54812,                 1.3029,                0.67551,                0.93268,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.35953,                0.60795,                0.28988,                0.87416,                0.85242,                 0.8416,                0.86147,                0.74115,                0.85411,                0.84475,                0.86241,                0.70753,                0.54735,                 1.3056,                0.67528,                0.93228,               1.99e-05,               1.99e-05,               1.99e-05
