                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.81553,                 1.8781,                 1.1322,                   1.14,                0.84247,                0.83289,                0.85803,                0.72054,                0.84627,                0.83357,                0.85732,                0.69394,                0.61601,                 1.0966,                0.71527,                0.98629,              7.855e-05,              7.855e-05,              7.855e-05
                     67,                0.81324,                 1.8751,                 1.1323,                  1.139,                0.84325,                0.83161,                0.85792,                0.72092,                0.84697,                0.83358,                0.85781,                0.69417,                0.61598,                 1.0964,                0.71465,                0.98638,              7.822e-05,              7.822e-05,              7.822e-05
                     68,                0.81195,                 1.8685,                 1.1296,                  1.137,                0.84566,                 0.8307,                0.85729,                0.72095,                0.84767,                0.83348,                0.85743,                0.69446,                0.61648,                 1.0955,                0.71481,                0.98702,              7.789e-05,              7.789e-05,              7.789e-05
                     69,                0.81104,                 1.8702,                 1.1258,                 1.1388,                0.84474,                0.83149,                0.85714,                0.72048,                0.84699,                0.83412,                 0.8573,                0.69453,                0.61631,                  1.095,                0.71436,                0.98722,              7.756e-05,              7.756e-05,              7.756e-05
                     70,                0.80814,                 1.8629,                 1.1221,                 1.1366,                0.84568,                0.83074,                0.85739,                0.72103,                0.84746,                0.83331,                0.85738,                0.69453,                0.61626,                 1.0942,                0.71398,                 0.9872,              7.723e-05,              7.723e-05,              7.723e-05
                     71,                0.80849,                 1.8693,                 1.1219,                 1.1362,                  0.844,                0.83147,                0.85731,                0.72087,                0.84592,                0.83417,                0.85737,                0.69441,                0.61637,                 1.0925,                0.71384,                0.98733,               7.69e-05,               7.69e-05,               7.69e-05
                     72,                0.81302,                 1.8714,                 1.1186,                 1.1384,                0.84259,                0.83222,                0.85734,                0.72098,                0.84455,                0.83496,                0.85717,                 0.6946,                0.61678,                 1.0925,                0.71362,                0.98762,              7.657e-05,              7.657e-05,              7.657e-05
                     73,                 0.8085,                 1.8594,                 1.1185,                  1.136,                0.84158,                0.83324,                0.85753,                0.72125,                  0.843,                0.83602,                0.85714,                0.69472,                0.61685,                  1.092,                0.71347,                0.98788,              7.624e-05,              7.624e-05,              7.624e-05
                     74,                0.80925,                 1.8639,                  1.117,                 1.1366,                0.84296,                0.83125,                0.85769,                 0.7212,                0.84239,                0.83552,                0.85683,                0.69504,                0.61706,                 1.0913,                0.71366,                0.98816,              7.591e-05,              7.591e-05,              7.591e-05
                     75,                0.80556,                 1.8552,                 1.1127,                 1.1344,                0.84359,                0.82989,                0.85769,                0.72111,                 0.8452,                0.83231,                0.85697,                  0.695,                0.61691,                 1.0904,                0.71307,                0.98788,              7.558e-05,              7.558e-05,              7.558e-05
                     76,                0.80708,                 1.8512,                 1.1116,                 1.1352,                0.84427,                 0.8298,                0.85762,                0.72145,                0.84629,                0.83179,                0.85691,                0.69507,                0.61704,                 1.0897,                0.71298,                0.98786,              7.525e-05,              7.525e-05,              7.525e-05
                     77,                  0.808,                 1.8615,                 1.1136,                 1.1356,                0.84337,                 0.8298,                0.85744,                0.72147,                0.84482,                0.83248,                0.85683,                 0.6948,                0.61753,                   1.09,                0.71328,                 0.9884,              7.492e-05,              7.492e-05,              7.492e-05
                     78,                0.80726,                 1.8582,                 1.1128,                 1.1349,                0.84379,                0.82942,                0.85751,                0.72139,                0.84535,                0.83221,                0.85704,                0.69465,                0.61735,                 1.0892,                0.71258,                0.98822,              7.459e-05,              7.459e-05,              7.459e-05
                     79,                0.80457,                 1.8451,                 1.1055,                 1.1329,                0.84449,                0.82914,                0.85787,                0.72158,                0.84677,                0.83159,                 0.8574,                0.69523,                0.61729,                 1.0882,                0.71251,                0.98816,              7.426e-05,              7.426e-05,              7.426e-05
                     80,                0.80583,                 1.8552,                 1.1128,                 1.1338,                0.84501,                0.82836,                0.85783,                0.72148,                0.84684,                  0.831,                0.85734,                0.69496,                0.61753,                 1.0891,                0.71322,                0.98847,              7.393e-05,              7.393e-05,              7.393e-05
                     81,                0.80432,                 1.8608,                 1.1041,                 1.1334,                0.84547,                0.82929,                 0.8581,                0.72157,                0.84719,                0.83146,                0.85754,                0.69517,                0.61725,                 1.0886,                0.71283,                0.98823,               7.36e-05,               7.36e-05,               7.36e-05
                     82,                0.80463,                 1.8521,                 1.1088,                 1.1337,                0.84669,                0.82862,                0.85838,                 0.7215,                0.84726,                0.83219,                0.85779,                0.69534,                0.61705,                 1.0877,                0.71278,                0.98824,              7.327e-05,              7.327e-05,              7.327e-05
                     83,                0.80842,                 1.8519,                 1.1058,                 1.1363,                0.84903,                0.82767,                0.85865,                 0.7218,                0.84911,                0.83122,                0.85814,                 0.6953,                0.61692,                 1.0881,                0.71245,                 0.9881,              7.294e-05,              7.294e-05,              7.294e-05
