                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.79235,                 1.8161,                 1.0803,                 1.1322,                0.84781,                0.83839,                0.86199,                0.72291,                0.85138,                0.84128,                0.85907,                0.69686,                0.61741,                 1.1144,                0.71791,                0.99617,              8.317e-05,              8.317e-05,              8.317e-05
                     53,                0.79364,                 1.8203,                 1.0818,                 1.1329,                0.85652,                0.83358,                0.86195,                0.72251,                0.85494,                0.84078,                0.85902,                0.69544,                0.61734,                 1.1139,                0.71674,                0.99621,              8.284e-05,              8.284e-05,              8.284e-05
                     54,                0.79222,                 1.8124,                 1.0752,                 1.1303,                 0.8579,                0.83321,                0.86242,                0.72319,                 0.8592,                0.83759,                0.85977,                0.69587,                0.61648,                 1.1136,                0.71413,                0.99498,              8.251e-05,              8.251e-05,              8.251e-05
                     55,                0.79186,                 1.8188,                 1.0762,                 1.1308,                0.85207,                0.83799,                0.86309,                0.72278,                0.85457,                 0.8417,                 0.8596,                0.69617,                0.61666,                 1.1155,                0.71339,                0.99514,              8.218e-05,              8.218e-05,              8.218e-05
                     56,                0.78682,                 1.8073,                 1.0714,                 1.1287,                0.85352,                0.83721,                0.86334,                0.72333,                0.85554,                0.84175,                 0.8602,                0.69685,                 0.6177,                 1.1154,                0.71202,                 0.9961,              8.185e-05,              8.185e-05,              8.185e-05
                     57,                0.78985,                 1.8154,                 1.0778,                 1.1292,                0.85659,                0.83655,                0.86332,                 0.7229,                0.85751,                0.83976,                 0.8596,                0.69703,                0.61727,                 1.1145,                0.71172,                0.99589,              8.152e-05,              8.152e-05,              8.152e-05
                     58,                0.79367,                 1.8205,                 1.0783,                  1.133,                0.85835,                0.83602,                0.86304,                0.72314,                0.85831,                0.84015,                0.85959,                0.69715,                0.61826,                 1.1155,                0.71071,                0.99732,              8.119e-05,              8.119e-05,              8.119e-05
                     59,                0.78637,                 1.8019,                  1.067,                 1.1276,                0.85881,                0.83519,                0.86293,                0.72327,                0.85855,                0.84016,                0.85976,                0.69728,                0.61869,                 1.1144,                0.70987,                0.99768,              8.086e-05,              8.086e-05,              8.086e-05
                     60,                0.78901,                 1.8014,                 1.0697,                  1.129,                0.85771,                0.83501,                0.86337,                0.72321,                0.85886,                0.83944,                0.85966,                 0.6973,                0.61934,                 1.1158,                0.70876,                0.99833,              8.053e-05,              8.053e-05,              8.053e-05
                     61,                 0.7896,                 1.8184,                 1.0688,                 1.1298,                0.85675,                0.83488,                0.86334,                0.72321,                0.85789,                0.84059,                0.85979,                0.69761,                0.62019,                 1.1144,                0.70804,                0.99899,               8.02e-05,               8.02e-05,               8.02e-05
                     62,                0.78831,                 1.8069,                 1.0617,                 1.1296,                0.85288,                0.83829,                0.86295,                0.72337,                0.85542,                0.84182,                0.85951,                0.69777,                0.61976,                 1.1149,                0.70724,                0.99891,              7.987e-05,              7.987e-05,              7.987e-05
                     63,                   0.79,                 1.8113,                 1.0659,                 1.1301,                0.85431,                0.83711,                 0.8637,                0.72397,                0.85508,                0.84173,                0.85996,                0.69793,                0.61911,                 1.1147,                0.70633,                0.99838,              7.954e-05,              7.954e-05,              7.954e-05
                     64,                0.78825,                 1.8044,                 1.0648,                 1.1299,                0.85265,                0.83926,                 0.8634,                0.72411,                0.85371,                0.84316,                0.85983,                0.69767,                0.61912,                 1.1146,                0.70614,                0.99844,              7.921e-05,              7.921e-05,              7.921e-05
                     65,                0.78556,                 1.8028,                 1.0577,                 1.1268,                 0.8526,                0.83994,                0.86318,                0.72419,                0.85238,                0.84472,                0.85963,                0.69763,                 0.6189,                 1.1152,                0.70524,                0.99819,              7.888e-05,              7.888e-05,              7.888e-05
                     66,                 0.7866,                 1.7978,                 1.0614,                 1.1284,                0.85323,                0.84007,                0.86321,                0.72483,                0.85281,                0.84435,                 0.8597,                0.69735,                0.61897,                 1.1162,                0.70443,                0.99824,              7.855e-05,              7.855e-05,              7.855e-05
                     67,                 0.7876,                 1.8056,                 1.0586,                 1.1274,                0.85305,                0.84033,                 0.8635,                 0.7247,                0.85543,                0.84352,                0.85964,                0.69746,                0.61925,                 1.1158,                0.70449,                0.99866,              7.822e-05,              7.822e-05,              7.822e-05
                     68,                0.78892,                 1.8065,                 1.0597,                 1.1293,                0.85074,                0.84314,                 0.8636,                 0.7252,                0.85398,                 0.8447,                0.85969,                0.69737,                0.61943,                  1.115,                0.70341,                0.99913,              7.789e-05,              7.789e-05,              7.789e-05
                     69,                0.78349,                 1.7942,                 1.0523,                 1.1271,                0.84664,                0.84491,                0.86357,                0.72518,                0.85001,                0.84739,                0.85914,                0.69738,                0.61911,                 1.1149,                0.70305,                0.99903,              7.756e-05,              7.756e-05,              7.756e-05
                     70,                0.78215,                 1.7898,                 1.0511,                  1.125,                0.84641,                0.84569,                0.86357,                0.72525,                0.84926,                0.84744,                0.85926,                0.69769,                0.61904,                 1.1152,                0.70288,                0.99912,              7.723e-05,              7.723e-05,              7.723e-05
                     71,                 0.7879,                 1.8053,                 1.0484,                 1.1276,                 0.8475,                0.84481,                0.86352,                0.72553,                0.85026,                  0.847,                0.85933,                0.69744,                0.61903,                 1.1145,                0.70258,                0.99967,               7.69e-05,               7.69e-05,               7.69e-05
                     72,                0.78429,                 1.8013,                 1.0522,                 1.1262,                0.84512,                0.84998,                0.86339,                 0.7257,                0.84985,                0.84706,                0.85986,                0.69783,                0.61911,                 1.1134,                0.70235,                0.99982,              7.657e-05,              7.657e-05,              7.657e-05
                     73,                0.78266,                 1.7893,                 1.0513,                 1.1251,                0.84482,                0.84985,                0.86348,                0.72548,                0.85086,                0.84629,                0.85953,                0.69783,                0.61888,                 1.1141,                0.70225,                0.99992,              7.624e-05,              7.624e-05,              7.624e-05
                     74,                0.78261,                 1.7836,                 1.0403,                 1.1253,                0.84638,                0.84658,                 0.8635,                 0.7256,                0.84904,                0.84806,                0.85997,                0.69813,                0.61857,                 1.1148,                 0.7017,                 0.9997,              7.591e-05,              7.591e-05,              7.591e-05
                     75,                0.78047,                 1.7889,                 1.0391,                 1.1249,                0.84577,                0.84869,                0.86351,                0.72549,                0.84932,                0.84846,                   0.86,                0.69835,                0.61856,                 1.1145,                0.70092,                 0.9997,              7.558e-05,              7.558e-05,              7.558e-05
                     76,                0.78027,                 1.7894,                 1.0423,                 1.1251,                0.84552,                0.84841,                0.86315,                0.72551,                0.84794,                0.85063,                0.86045,                0.69848,                0.61854,                 1.1139,                0.70096,                0.99969,              7.525e-05,              7.525e-05,              7.525e-05
                     77,                0.78015,                 1.7796,                 1.0362,                 1.1243,                0.84629,                0.84831,                0.86327,                0.72589,                 0.8495,                0.84923,                0.86074,                0.69862,                0.61836,                 1.1118,                0.70052,                 0.9999,              7.492e-05,              7.492e-05,              7.492e-05
                     78,                0.78078,                 1.7864,                 1.0391,                 1.1238,                0.84714,                0.84759,                 0.8631,                0.72569,                0.85064,                0.84877,                 0.8607,                0.69874,                0.61794,                 1.1113,                 0.6998,                0.99963,              7.459e-05,              7.459e-05,              7.459e-05
                     79,                 0.7821,                 1.7858,                 1.0356,                 1.1245,                0.84614,                0.84871,                0.86336,                0.72566,                0.84868,                0.84857,                0.86069,                0.69903,                0.61812,                 1.1118,                0.69979,                0.99989,              7.426e-05,              7.426e-05,              7.426e-05
                     80,                0.78022,                 1.7789,                 1.0364,                  1.124,                0.84542,                0.84929,                0.86336,                0.72555,                0.84849,                0.84893,                0.86068,                0.69886,                0.61796,                 1.1114,                0.69934,                0.99972,              7.393e-05,              7.393e-05,              7.393e-05
