                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.41591,                0.73723,                0.43513,                0.94004,                0.81764,                0.87101,                0.86757,                0.75213,                0.82531,                  0.861,                0.86782,                0.72091,                0.51213,                 1.2541,                0.62678,                 1.0142,              0.0005149,              0.0005149,              0.0005149
                     51,                0.41438,                0.73233,                0.43141,                0.93997,                0.82419,                0.86304,                 0.8689,                0.75265,                0.82631,                0.86107,                0.86932,                0.72073,                0.51202,                 1.2619,                0.62616,                 1.0166,               0.000505,               0.000505,               0.000505
                     52,                0.41034,                0.72817,                0.42478,                0.93694,                0.82376,                0.86374,                0.86911,                0.75253,                0.82608,                0.86201,                0.86927,                   0.72,                0.51388,                 1.2634,                0.62354,                  1.019,              0.0004951,              0.0004951,              0.0004951
                     53,                0.40722,                0.72038,                0.41908,                0.93659,                0.82251,                0.86961,                0.86946,                0.75214,                 0.8257,                0.86486,                0.86899,                0.71999,                0.51489,                 1.2661,                 0.6229,                   1.02,              0.0004852,              0.0004852,              0.0004852
                     54,                0.40639,                0.71976,                0.41611,                0.93383,                0.82202,                0.86722,                0.86938,                0.75118,                0.82253,                0.86504,                0.86854,                0.71802,                0.51508,                 1.2717,                0.62443,                 1.0212,              0.0004753,              0.0004753,              0.0004753
                     55,                0.39958,                0.70738,                0.40838,                0.93018,                0.81853,                0.86751,                0.86986,                0.75176,                0.84014,                0.84619,                0.86808,                0.71885,                0.51549,                 1.2743,                0.62414,                 1.0216,              0.0004654,              0.0004654,              0.0004654
                     56,                0.40055,                0.70669,                0.40833,                0.93169,                0.83529,                0.84903,                0.86971,                0.75191,                0.83861,                0.84702,                0.86784,                0.71835,                0.51637,                 1.2771,                0.62243,                 1.0225,              0.0004555,              0.0004555,              0.0004555
                     57,                0.39852,                0.70253,                0.40457,                0.92836,                0.83083,                0.85075,                0.86989,                0.75156,                0.84191,                0.84225,                0.86717,                0.71759,                0.51655,                  1.279,                0.62191,                 1.0231,              0.0004456,              0.0004456,              0.0004456
                     58,                0.39731,                0.69778,                0.40378,                0.92748,                0.83592,                0.84697,                0.86978,                 0.7518,                0.84105,                0.84022,                0.86644,                 0.7173,                0.51746,                  1.282,                0.62495,                  1.024,              0.0004357,              0.0004357,              0.0004357
                     59,                0.39366,                 0.6972,                0.39518,                0.92571,                 0.8341,                0.84997,                0.87015,                0.75303,                0.83985,                0.84102,                  0.867,                0.71828,                0.51855,                 1.2853,                0.62594,                 1.0254,              0.0004258,              0.0004258,              0.0004258
